taxid,CDS,CDS-length,exon,exon-length,gene,gene-length,mRNA,mRNA-length
1328760,27461,438.3487491,28134,506.4352385,8346,1923.371675,8201,1955.704792
1344418,9334,1016.912149,9564,1103.626098,6962,1640.57426,6787,1680.868572
1354746,1850,1053.016216,1909,1025.066527,1879,1041.930282,1820,1070.887363
13642,45658,420.5854834,45940,418.4144972,12590,2014.059809,12336,2053.973087
1365824,8851,1103.766919,9065,1079.581908,5889,1786.435048,5768,1820.945562
1367422,29714,601.7596756,29744,601.2298279,12120,1608.792987,12090,1612.595368
1380566,39614,514.9056142,39726,513.6998439,14979,1521.901462,14867,1532.709558
1381753,104962,210.2182409,104962,210.2182409,17910,1529.020045,17910,1529.020045
1397361,20615,760.10992,20756,755.8088745,10434,1591.780142,10293,1611.846012
1408163,34647,415.9459116,34647,415.9459116,9843,1709.899523,9843,1709.899523
1408657,21689,246.623588,21770,247.3982085,3811,1652.39386,3761,1671.452805
1408658,21428,237.598656,21808,247.9522652,3695,1701.649256,3646,1721.760285
1410327,35343,540.5180375,35343,540.5180375,12682,1667.902066,12686,1667.880656
1441469,32521,463.5398358,32521,463.5398358,9523,1795.284259,9523,1795.284259
1442368,30765,600.1771169,30811,599.4494499,12573,1584.652748,12527,1590.058194
1442369,27496,607.6339468,27532,606.9944065,11418,1574.236118,11382,1578.840626
1442370,30577,596.8183602,30632,595.9483547,12817,1536.65733,12762,1542.79627
1442371,29748,618.315517,29784,617.6976229,12405,1591.977509,12369,1596.300105
1445577,40090,511.1341731,40090,511.1341731,13759,1672.370594,13759,1672.370594
1460663,38860,493.5594442,39717,563.6003223,14844,1641.752964,14734,1653.286141
1485682,7539,508.1961799,7539,508.1961799,3330,1251.857057,3330,1251.857057
149040,55838,427.4275225,57178,484.2932072,18659,1641.582561,18567,1649.215867
1509407,40048,448.3898072,40232,457.5315172,11914,1745.002266,11914,1745.002266
157072,105153,294.0102232,109371,345.128407,15416,1845.104242,20816,2096.330707
157538,13893,1690.456489,14151,1931.135891,10130,2030.621422,13893,1965.149212
1664694,26991,630.6234671,26991,630.6234671,11848,1557.072755,11848,1557.072755
184922,6506,1298.41162,6591,1283.534668,6583,1285.309281,6502,1299.271301
185431,8714,1515.749943,9284,1435.183003,10419,1423.943469,8712,1516.324495
208452,15721,737.3232619,15900,741.5831447,5575,2523.253991,5516,2544.225888
