,parentTaxid,taxid,assembler
40,451864,1229662,Newbler
41,451864,1230383,
45,451864,1263415,Newbler
47,451864,1276141,SOAPdenovo
48,451864,1276143,SOAPdenovo
49,451864,1277687,Newbler
50,451864,1279043,allpaths
51,451864,1284197,Newbler
52,451864,1286976,CLC
53,451864,1287680,CLC
54,451864,1287681,CLC
55,451864,1295528,allpaths
56,451864,1295533,allpaths
57,451864,1296096,allpaths
58,451864,1296100,allpaths
59,451864,1296121,allpaths
60,451864,1296122,allpaths
62,451864,1299270,SOAPdenovo
63,451864,1305764,
64,451864,1328760,Allpaths-LG
65,451864,1344418,Allpaths-LG
68,451864,1365824,SSPACE
69,451864,1365824,Velvet
70,451864,1367422,SPAdes
71,451864,1380566,Allpaths-LG
72,451864,1381753,Newbler
73,451864,1397361,Newbler
74,451864,1408163,Celera
75,451864,1408657,Abyss
76,451864,1408657,Spades
77,451864,1408658,
80,451864,1441469,ALLPATHS-LG
81,451864,1442368,allpaths
82,451864,1442369,allpaths
83,451864,1442370,allpaths
84,451864,1442371,allpaths
85,451864,1445577,Velvet
86,451864,1460663,Allpaths-LG
90,451864,149040,Allpaths-LG
91,451864,1509407,Newbler
94,451864,1664694,SPAdes
98,451864,212818,allpaths
99,451864,214684,
100,451864,215243,allpaths
101,451864,222929,
102,451864,227321,
103,451864,229533,
104,451864,235443,
105,451864,236234,CLC
106,451864,237561,
107,451864,237631,Arachne
108,451864,240176,
109,451864,242507,
110,451864,246410,
111,451864,253628,allpaths
114,451864,27334,SOAPdenovo
116,451864,283643,
117,451864,284590,
118,451864,284591,
119,451864,284592,
120,451864,284593,
121,451864,284811,
122,451864,284812,
125,451864,294746,
126,451864,294747,
128,451864,306901,
129,451864,306902,
132,451864,321614,
133,451864,322104,
134,451864,330879,
135,451864,331117,
136,451864,33203,Allpaths-LG
137,451864,332648,
138,451864,332952,
140,451864,334819,
141,451864,336722,JAZZ
142,451864,336963,
143,451864,339724,
144,451864,341663,
145,451864,342668,CLC
146,451864,344612,
148,451864,348802,allpaths
155,451864,367110,Arachne
156,451864,367775,
159,451864,379508,
160,451864,383855,Arachne
161,451864,398673,
162,451864,402676,Arachne
166,451864,413071,phredPhrap
167,451864,418459,
170,451864,425011,
171,451864,425265,
172,451864,426418,
173,451864,426428,
174,451864,431241,
176,451864,436907,
179,451864,441959,
180,451864,441960,
182,451864,452589,phredPhrap
183,451864,45286,
184,451864,460523,Newbler
187,451864,483514,Arachne
189,451864,486041,
190,451864,4909,
191,451864,4950,
192,451864,498019,Newbler
193,451864,498019,SSPACE-STANDARD
194,451864,498257,
195,451864,500485,
196,451864,502779,Pilon
197,451864,502780,Pilon
199,451864,510516,
200,451864,510951,Newbler
202,451864,515849,
203,451864,526221,
204,451864,535722,Arachne
206,451864,554155,
208,451864,559292,
209,451864,559295,
210,451864,559298,Unknown
211,451864,559305,
212,451864,559307,
213,451864,5599,Allpaths-LG
214,451864,561896,
215,451864,563466,CLC
218,451864,569365,allpaths
220,451864,573729,
221,451864,573826,
222,451864,578455,
223,451864,578456,Arachne
224,451864,578457,Arachne
225,451864,578458,Arachne
226,451864,578459,Arachne
238,451864,58627,Newbler
243,451864,590646,Newbler
245,451864,597362,Newbler
246,451864,599839,
247,451864,619300,Newbler
248,451864,644223,
249,451864,644352,Newbler
250,451864,645133,
256,451864,650164,Newbler
257,451864,653667,Newbler
258,451864,655819,Newbler
259,451864,655827,SOAPdenovo
260,451864,655844,Newbler
261,451864,655844,SOAPdenovo
262,451864,655863,
263,451864,656061,
264,451864,658429,Newbler
265,451864,660122,
266,451864,663202,
267,451864,663331,
268,451864,665024,Allpaths-LG
269,451864,665079,
270,451864,665912,Newbler
271,451864,670483,Newbler
272,451864,671144,Newbler
273,451864,671987,Newbler
276,451864,683960,Newbler
278,451864,690307,Newbler
279,451864,692275,Newbler
280,451864,694068,Newbler
282,451864,698492,Newbler
283,451864,717646,Newbler
284,451864,717944,Newbler
285,451864,717982,Newbler
287,451864,721885,
288,451864,732165,Newbler
289,451864,741275,Newbler
290,451864,741705,Newbler
292,451864,747525,Arachne
293,451864,747676,JAZZ
294,451864,756982,gsAssembler
295,451864,759272,Celera
296,451864,759273,HGAP3.0
297,451864,759273,Manual
299,451864,763406,
301,451864,764103,Alpaths-LG
302,451864,77020,
303,451864,771870,
304,451864,796027,
305,451864,84753,allpaths-lg
306,451864,858893,ALLPATHS
307,451864,861557,Abyss
309,451864,869754,Newbler
310,451864,871575,Newbler
312,451864,879819,Allpaths-LG
316,451864,91928,allpaths
318,451864,930089,AllPaths-LG
319,451864,930090,AllPaths-LG
320,451864,930091,Allpaths-LG
321,451864,931890,
322,451864,936046,
327,451864,983644,Newbler
328,451864,983966,Allpaths-LG
329,451864,984485,Allpaths-LG
330,451864,984486,Allpaths-LG
331,451864,984487,Allpaths-LG
332,451864,985895,
0,4890,1028729,CLCBio
2,4890,1041607,
3,4890,1043004,Allpaths-LG
4,4890,1043005,AllPaths-LG
5,4890,1064592,
6,4890,1069680,ALLPATHS
7,4890,1071378,
8,4890,1071380,
9,4890,1071381,
10,4890,1071382,
11,4890,1072389,Newbler
13,4890,1080349,AllPaths
14,4890,1081104,SOAPdenovo
18,4890,1116229,GS
27,4890,1136231,
29,4890,1168221,ALLPATHS
30,4890,1170230,SOAPdenovo
32,4890,1182541,allpaths
33,4890,1182542,allpaths
34,4890,1182543,
35,4890,1182544,allpaths
36,4890,1182545,allpaths
38,4890,1213859,SOAPdenovo
39,4890,1220924,allpaths
40,4890,1229662,Newbler
45,4890,1263415,Newbler
47,4890,1276141,SOAPdenovo
48,4890,1276143,SOAPdenovo
50,4890,1279043,allpaths
51,4890,1284197,Newbler
52,4890,1286976,CLC
53,4890,1287680,CLC
54,4890,1287681,CLC
64,4890,1328760,Allpaths-LG
65,4890,1344418,Allpaths-LG
70,4890,1367422,SPAdes
71,4890,1380566,Allpaths-LG
73,4890,1397361,Newbler
74,4890,1408163,Celera
75,4890,1408657,Abyss
76,4890,1408657,Spades
77,4890,1408658,
80,4890,1441469,ALLPATHS-LG
81,4890,1442368,allpaths
82,4890,1442369,allpaths
83,4890,1442370,allpaths
84,4890,1442371,allpaths
85,4890,1445577,Velvet
86,4890,1460663,Allpaths-LG
90,4890,149040,Allpaths-LG
91,4890,1509407,Newbler
94,4890,1664694,SPAdes
98,4890,212818,allpaths
100,4890,215243,allpaths
101,4890,222929,
102,4890,227321,
103,4890,229533,
105,4890,236234,CLC
106,4890,237561,
109,4890,242507,
110,4890,246410,
111,4890,253628,allpaths
114,4890,27334,SOAPdenovo
117,4890,284590,
118,4890,284591,
119,4890,284592,
120,4890,284593,
121,4890,284811,
122,4890,284812,
125,4890,294746,
126,4890,294747,
128,4890,306901,
129,4890,306902,
132,4890,321614,
133,4890,322104,
134,4890,330879,
135,4890,331117,
136,4890,33203,Allpaths-LG
137,4890,332648,
138,4890,332952,
140,4890,334819,
141,4890,336722,JAZZ
142,4890,336963,
143,4890,339724,
144,4890,341663,
145,4890,342668,CLC
146,4890,344612,
148,4890,348802,allpaths
155,4890,367110,Arachne
159,4890,379508,
160,4890,383855,Arachne
161,4890,398673,
162,4890,402676,Arachne
166,4890,413071,phredPhrap
170,4890,425011,
172,4890,426418,
173,4890,426428,
174,4890,431241,
176,4890,436907,
179,4890,441959,
180,4890,441960,
182,4890,452589,phredPhrap
183,4890,45286,
184,4890,460523,Newbler
187,4890,483514,Arachne
190,4890,4909,
191,4890,4950,
192,4890,498019,Newbler
193,4890,498019,SSPACE-STANDARD
194,4890,498257,
195,4890,500485,
196,4890,502779,Pilon
197,4890,502780,Pilon
199,4890,510516,
200,4890,510951,Newbler
202,4890,515849,
203,4890,526221,
204,4890,535722,Arachne
206,4890,554155,
208,4890,559292,
209,4890,559295,
210,4890,559298,Unknown
211,4890,559305,
212,4890,559307,
213,4890,5599,Allpaths-LG
215,4890,563466,CLC
218,4890,569365,allpaths
220,4890,573729,
221,4890,573826,
222,4890,578455,
238,4890,58627,Newbler
243,4890,590646,Newbler
247,4890,619300,Newbler
248,4890,644223,
249,4890,644352,Newbler
250,4890,645133,
257,4890,653667,Newbler
258,4890,655819,Newbler
259,4890,655827,SOAPdenovo
260,4890,655844,Newbler
261,4890,655844,SOAPdenovo
262,4890,655863,
263,4890,656061,
264,4890,658429,Newbler
265,4890,660122,
266,4890,663202,
267,4890,663331,
