,parentTaxid,taxid,assembler
6,4753,1069680,ALLPATHS
75,4753,1408657,Abyss
76,4753,1408657,Spades
77,4753,1408658,
6,1069680,1069680,ALLPATHS
75,1408657,1408657,Abyss
76,1408657,1408657,Spades
77,1408658,1408658,
282,698492,698492,Newbler
122,4895,284812,
162,4895,402676,Arachne
187,4895,483514,Arachne
257,4895,653667,Newbler
122,284812,284812,
187,483514,483514,Arachne
162,402676,402676,Arachne
257,653667,653667,Newbler
1,5204,1037660,Allpaths-LG
25,5204,1130832,SOAPdenovo
37,5204,1186058,GS
41,5204,1230383,
49,5204,1277687,Newbler
55,5204,1295528,allpaths
56,5204,1295533,allpaths
57,5204,1296096,allpaths
58,5204,1296100,allpaths
59,5204,1296121,allpaths
60,5204,1296122,allpaths
62,5204,1299270,SOAPdenovo
63,5204,1305764,
68,5204,1365824,SSPACE
69,5204,1365824,Velvet
72,5204,1381753,Newbler
99,5204,214684,
104,5204,235443,
107,5204,237631,Arachne
108,5204,240176,
116,5204,283643,
156,5204,367775,
167,5204,418459,
171,5204,425265,
189,5204,486041,
214,5204,561896,
223,5204,578456,Arachne
224,5204,578457,Arachne
225,5204,578458,Arachne
226,5204,578459,Arachne
245,5204,597362,Newbler
246,5204,599839,
256,5204,650164,Newbler
271,5204,670483,Newbler
272,5204,671144,Newbler
280,5204,694068,Newbler
284,5204,717944,Newbler
285,5204,717982,Newbler
287,5204,721885,
288,5204,732165,Newbler
289,5204,741275,Newbler
290,5204,741705,Newbler
292,5204,747525,Arachne
293,5204,747676,JAZZ
301,5204,764103,Alpaths-LG
302,5204,77020,
305,5204,84753,allpaths-lg
312,5204,879819,Allpaths-LG
322,5204,936046,
37,5302,1186058,GS
55,5302,1295528,allpaths
56,5302,1295533,allpaths
57,5302,1296096,allpaths
58,5302,1296100,allpaths
59,5302,1296121,allpaths
60,5302,1296122,allpaths
62,5302,1299270,SOAPdenovo
72,5302,1381753,Newbler
99,5302,214684,
104,5302,235443,
108,5302,240176,
116,5302,283643,
156,5302,367775,
189,5302,486041,
214,5302,561896,
223,5302,578456,Arachne
224,5302,578457,Arachne
225,5302,578458,Arachne
245,5302,597362,Newbler
246,5302,599839,
256,5302,650164,Newbler
271,5302,670483,Newbler
272,5302,671144,Newbler
280,5302,694068,Newbler
284,5302,717944,Newbler
285,5302,717982,Newbler
287,5302,721885,
288,5302,732165,Newbler
289,5302,741275,Newbler
290,5302,741705,Newbler
292,5302,747525,Arachne
312,5302,879819,Allpaths-LG
322,5302,936046,
72,155619,1381753,Newbler
108,155619,240176,
189,155619,486041,
214,155619,561896,
224,155619,578457,Arachne
225,155619,578458,Arachne
245,155619,597362,Newbler
246,155619,599839,
256,155619,650164,Newbler
271,155619,670483,Newbler
280,155619,694068,Newbler
284,155619,717944,Newbler
285,155619,717982,Newbler
287,155619,721885,
288,155619,732165,Newbler
289,155619,741275,Newbler
290,155619,741705,Newbler
292,155619,747525,Arachne
322,155619,936046,
214,355688,561896,
246,355688,599839,
256,355688,650164,Newbler
271,355688,670483,Newbler
280,355688,694068,Newbler
284,355688,717944,Newbler
285,355688,717982,Newbler
287,355688,721885,
288,355688,732165,Newbler
289,355688,741275,Newbler
292,355688,747525,Arachne
214,5303,561896,
246,5303,599839,
256,5303,650164,Newbler
284,5303,717944,Newbler
288,5303,732165,Newbler
246,5317,599839,
288,5317,732165,Newbler
246,599839,599839,
288,732165,732165,Newbler
214,83233,561896,
284,83233,717944,Newbler
214,561896,561896,
284,717944,717944,Newbler
256,650164,650164,Newbler
287,452342,721885,
292,452342,747525,Arachne
287,721885,721885,
292,747525,747525,Arachne
285,717982,717982,Newbler
271,670483,670483,Newbler
280,694068,694068,Newbler
289,741275,741275,Newbler
72,452333,1381753,Newbler
108,452333,240176,
189,452333,486041,
224,452333,578457,Arachne
225,452333,578458,Arachne
245,452333,597362,Newbler
290,452333,741705,Newbler
322,452333,936046,
72,5338,1381753,Newbler
108,5338,240176,
189,5338,486041,
225,5338,578458,Arachne
245,5338,597362,Newbler
322,5338,936046,
245,5341,597362,Newbler
322,5341,936046,
245,597362,597362,Newbler
322,936046,936046,
189,486041,486041,
108,240176,240176,
225,578458,578458,Arachne
72,1381753,1381753,Newbler
224,227334,578457,Arachne
290,227334,741705,Newbler
290,741705,741705,Newbler
224,578457,578457,Arachne
37,155616,1186058,GS
55,155616,1295528,allpaths
56,155616,1295533,allpaths
57,155616,1296096,allpaths
58,155616,1296100,allpaths
59,155616,1296121,allpaths
60,155616,1296122,allpaths
99,155616,214684,
104,155616,235443,
116,155616,283643,
156,155616,367775,
223,155616,578456,Arachne
312,155616,879819,Allpaths-LG
55,5234,1295528,allpaths
56,5234,1295533,allpaths
57,5234,1296096,allpaths
58,5234,1296100,allpaths
59,5234,1296121,allpaths
60,5234,1296122,allpaths
99,5234,214684,
104,5234,235443,
116,5234,283643,
156,5234,367775,
223,5234,578456,Arachne
55,1884633,1295528,allpaths
56,1884633,1295533,allpaths
57,1884633,1296096,allpaths
58,1884633,1296100,allpaths
59,1884633,1296121,allpaths
60,1884633,1296122,allpaths
99,1884633,214684,
104,1884633,235443,
116,1884633,283643,
156,1884633,367775,
56,5206,1295533,allpaths
99,5206,214684,
104,5206,235443,
116,5206,283643,
156,5206,367775,
99,5207,214684,
104,5207,235443,
116,5207,283643,
99,40410,214684,
116,40410,283643,
99,214684,214684,
116,283643,283643,
104,235443,235443,
56,1295533,1295533,allpaths
156,367775,367775,
57,490731,1296096,allpaths
58,490731,1296100,allpaths
59,490731,1296121,allpaths
60,490731,1296122,allpaths
57,1296096,1296096,allpaths
58,1296100,1296100,allpaths
59,1296121,1296121,allpaths
60,1296122,1296122,allpaths
55,1295528,1295528,allpaths
223,578456,578456,Arachne
37,1759442,1186058,GS
312,1759442,879819,Allpaths-LG
312,879819,879819,Allpaths-LG
37,1186058,1186058,GS
62,148959,1299270,SOAPdenovo
272,148959,671144,Newbler
62,1299270,1299270,SOAPdenovo
272,671144,671144,Newbler
1,452284,1037660,Allpaths-LG
41,452284,1230383,
49,452284,1277687,Newbler
63,452284,1305764,
68,452284,1365824,SSPACE
69,452284,1365824,Velvet
107,452284,237631,Arachne
171,452284,425265,
302,452284,77020,
305,452284,84753,allpaths-lg
49,5268,1277687,Newbler
63,5268,1305764,
68,5268,1365824,SSPACE
69,5268,1365824,Velvet
107,5268,237631,Arachne
305,5268,84753,allpaths-lg
305,84753,84753,allpaths-lg
107,237631,237631,Arachne
63,1305764,1305764,
49,1277687,1277687,Newbler
68,1365824,1365824,SSPACE
69,1365824,1365824,Velvet
41,55193,1230383,
171,55193,425265,
302,55193,77020,
302,77020,77020,
41,1230383,1230383,
171,425265,425265,
1,1037660,1037660,Allpaths-LG
25,29000,1130832,SOAPdenovo
167,29000,418459,
226,29000,578459,Arachne
293,29000,747676,JAZZ
301,29000,764103,Alpaths-LG
167,5258,418459,
293,5258,747676,JAZZ
293,747676,747676,JAZZ
167,418459,418459,
25,5533,1130832,SOAPdenovo
226,5533,578459,Arachne
226,578459,578459,Arachne
25,1130832,1130832,SOAPdenovo
301,764103,764103,Alpaths-LG
31,6029,1178016,
66,6029,1354746,Ray
87,6029,1485682,Geneious
88,6029,1485682,Ray
89,6029,1485682,Velvet
123,6029,284813,
186,6029,481877,
227,6029,578460,
311,6029,876142,
313,6029,881290,Newbler
315,6029,907965,
326,6029,948595,Newbler
334,6029,993615,Newbler
31,6032,1178016,
123,6032,284813,
186,6032,481877,
227,6032,578460,
311,6032,876142,
315,6032,907965,
334,6032,993615,Newbler
227,27974,578460,
334,27974,993615,Newbler
227,578460,578460,
334,993615,993615,Newbler
31,6033,1178016,
123,6033,284813,
311,6033,876142,
315,6033,907965,
311,876142,876142,
123,284813,284813,
315,907965,907965,
31,1178016,1178016,
186,481877,481877,
66,469895,1354746,Ray
87,469895,1485682,Geneious
88,469895,1485682,Ray
89,469895,1485682,Velvet
313,469895,881290,Newbler
87,1485682,1485682,Geneious
88,1485682,1485682,Ray
89,1485682,1485682,Velvet
313,881290,881290,Newbler
66,1354746,1354746,Ray
326,948595,948595,Newbler
251,451435,645134,
277,451435,684364,ARACHNE
251,645134,645134,
277,684364,684364,ARACHNE
300,763407,763407,JGI
93,5654,157538,Newbler
96,5654,185431,
147,5654,347515,
153,5654,353153,
168,5654,420245,
175,5654,435258,
216,5654,5661,
217,5654,5679,
275,5654,679716,
286,5654,71804,ALLPATHS-LG
317,5654,929439,
93,1286322,157538,Newbler
147,1286322,347515,
168,1286322,420245,
175,1286322,435258,
216,1286322,5661,
217,1286322,5679,
317,1286322,929439,
147,5658,347515,
168,5658,420245,
175,5658,435258,
216,5658,5661,
217,5658,5679,
317,5658,929439,
147,38568,347515,
175,38568,435258,
216,38568,5661,
317,38568,929439,
175,38574,435258,
216,38574,5661,
216,5661,5661,
175,435258,435258,
317,929439,929439,
147,347515,347515,
168,37616,420245,
217,37616,5679,
217,5679,5679,
168,420245,420245,
93,157538,157538,Newbler
96,5690,185431,
153,5690,353153,
275,5690,679716,
286,5690,71804,ALLPATHS-LG
96,5691,185431,
275,5691,679716,
96,185431,185431,
275,679716,679716,
286,71804,71804,ALLPATHS-LG
153,353153,353153,
185,461836,461836,Arachne
314,905079,905079,Arachne
115,280463,280463,Arachne
165,412133,412133,
291,744533,744533,
95,184922,184922,
