18	33630	1120755	14552	678.2921248	15791	669.7700589	5776	2184.611669	5716	2201.233555
21	33630	1133968	11701	396.9958978	11759	396.0112254	3552	1451.866273	3489	1473.16509
37	33630	1237626	13974	809.0195363	14021	806.8393125	5879	2213.05222	5832	2229.618999
40	33630	126793	13336	844.5828584	13708	930.3114969	5506	2611.528696	5389	2607.584338
86	33630	208452	15721	737.3232619	15900	741.5831447	5575	2523.253991	5516	2544.225888
118	33630	312017	121018	420.1551587	121197	425.2639339	26996	2400.773818	26996	2400.773818
119	33630	31271	13926	750.0033032	14039	744.3501674	5314	2204.996236	5127	2273.434952
127	33630	333668	14455	394.739329	14611	401.500924	4141	1654.578363	4061	1682.665353
138	33630	352914	15314	663.9816508	17103	629.6998187	7403	1597.274618	7353	1607.624371
139	33630	353151	3885	1360.110167	3967	1337.010335	3955	1341.228066	3885	1360.110167
140	33630	353152	4042	1688.681841	4124	1659.150824	3887	1766.24955	3805	1799.101183
142	33630	36329	13740	893.010262	13815	891.1620702	5512	2514.429608	5334	2565.385827
152	33630	412030	129838	416.1575194	129838	416.1575194	39581	1435.798868	39580	1422.483628
157	33630	423536	133410	171.207893	139873	172.1517019	29475	1268.013469	23654	1582.459669
166	33630	441375	5353	1293.422006	5397	1287.803409	3981	1780.189651	3934	1799.289527
169	33630	44415	39432	297.8584145	39432	297.8584145	8748	2420.640947	8748	2420.640947
176	33630	484906	10201	547.0339182	10343	556.09417	3781	1635.139646	3671	1675.277581
185	33630	508771	47717	419.7362366	49003	606.7120993	8925	5566.620392	8292	5943.954896
188	33630	51315	36925	384.4527827	36925	384.4527827	8584	2707.512582	8609	2703.603903
192	33630	54757	13009	770.3014836	13064	769.5385793	5009	2260.611499	4954	2279.172184
206	33630	572307	42285	421.8084427	42459	420.6848725	7084	4847.084416	6946	4936.88425
216	33630	5801	35483	389.2658738	35483	389.2658738	6867	3412.061453	6867	3412.061453
217	33630	5802	38579	338.7447834	38625	338.1893592	8683	2485.690775	8581	2510.94045
218	33630	5804	31573	383.0928958	31573	383.0928958	6057	3146.824831	6057	3146.824831
219	33630	5823	18136	463.3098809	18192	462.5566733	10290	979.2863946	9822	974.0719813
220	33630	5851	13296	837.2469916	13363	834.6156552	5161	2517.472389	5109	2540.823645
221	33630	5854	12629	887.9751366	12689	885.5332966	5255	2380.069648	5279	2357.622466
222	33630	5857	15150	777.8135314	15222	775.1606885	5744	2478.983461	5672	2507.703808
224	33630	5866	13296	654.8376955	13270	652.733685	5080	1815.980709	5079	1811.704272
225	33630	5872	13564	578.8262312	13746	589.5369562	5398	1662.927566	5329	1682.485832
226	33630	5874	14594	417.4993833	14640	416.3876366	3796	1802.700738	3795	1803.023979
228	33630	5932	29023	345.7263894	29604	360.5629307	8213	1695.671009	8056	1726.911867
236	33630	647221	13429	845.4142527	13407	843.2726188	5429	2304.356788	5354	2326.596377
287	33630	869250	16502	373.6422858	16558	373.2454403	4058	1820.266141	4002	1842.150675
310	33630	99158	46913	413.9905996	47097	412.797588	8177	4749.043048	8004	4849.945277
16	5794	110365	9648	908.6446932	9879	889.273307	6606	1392.578262	6375	1440.347922
18	5794	1120755	14552	678.2921248	15791	669.7700589	5776	2184.611669	5716	2201.233555
21	5794	1133968	11701	396.9958978	11759	396.0112254	3552	1451.866273	3489	1473.16509
37	5794	1237626	13974	809.0195363	14021	806.8393125	5879	2213.05222	5832	2229.618999
40	5794	126793	13336	844.5828584	13708	930.3114969	5506	2611.528696	5389	2607.584338
86	5794	208452	15721	737.3232619	15900	741.5831447	5575	2523.253991	5516	2544.225888
119	5794	31271	13926	750.0033032	14039	744.3501674	5314	2204.996236	5127	2273.434952
127	5794	333668	14455	394.739329	14611	401.500924	4141	1654.578363	4061	1682.665353
138	5794	352914	15314	663.9816508	17103	629.6998187	7403	1597.274618	7353	1607.624371
139	5794	353151	3885	1360.110167	3967	1337.010335	3955	1341.228066	3885	1360.110167
140	5794	353152	4042	1688.681841	4124	1659.150824	3887	1766.24955	3805	1799.101183
142	5794	36329	13740	893.010262	13815	891.1620702	5512	2514.429608	5334	2565.385827
166	5794	441375	5353	1293.422006	5397	1287.803409	3981	1780.189651	3934	1799.289527
169	5794	44415	39432	297.8584145	39432	297.8584145	8748	2420.640947	8748	2420.640947
176	5794	484906	10201	547.0339182	10343	556.09417	3781	1635.139646	3671	1675.277581
185	5794	508771	47717	419.7362366	49003	606.7120993	8925	5566.620392	8292	5943.954896
