taxid,assembler
1053167,Allpaths
1053168,Allpaths
1053169,Allpaths
1053170,Allpaths
1053171,Allpaths
1053172,Allpaths
1053173,Allpaths
1053174,Allpaths
1053175,Allpaths
1053176,Allpaths
1053177,Allpaths
1053178,Allpaths
1053179,Allpaths
1053180,Allpaths
1053181,Allpaths
1053182,Allpaths
1053183,Allpaths
1053184,Allpaths
1053185,Allpaths
1053186,Allpaths
1053187,Allpaths
1053188,Allpaths
1053189,Allpaths
1053190,Allpaths
1053191,Allpaths
1053192,Allpaths
1053193,Allpaths
1053194,Allpaths
1053195,Allpaths
1053196,Allpaths
1053197,Allpaths
1053198,Allpaths
1053199,Allpaths
1053200,Allpaths
1053201,Allpaths
1053202,Allpaths
1053203,Allpaths
1053204,Allpaths
1053205,Allpaths
1053206,Allpaths
1053207,Allpaths
1053208,Allpaths
1053209,Allpaths
1053210,Allpaths
1053211,Allpaths
1053212,Allpaths
1053213,Allpaths
1053214,Allpaths
1053215,Allpaths
1053216,Allpaths
1053217,Allpaths
1053218,Allpaths
1053219,Allpaths
1053220,Allpaths
1053221,Allpaths
1053222,Allpaths
1053223,Allpaths
1053224,Allpaths
1053225,Allpaths
1053226,Allpaths
1053227,Allpaths
1053228,Allpaths
1053229,Allpaths
1053230,Allpaths
1053231,Allpaths
1053232,Allpaths
1053233,Allpaths
1053234,Allpaths
1053235,Allpaths
1053236,Allpaths
1053237,Allpaths
1053238,Allpaths
1053239,Allpaths
1053240,Allpaths
1053241,Allpaths
1053242,Allpaths
1053243,Allpaths
1053244,Allpaths
1053245,Allpaths
1053246,Allpaths
1053247,Allpaths
1053248,Allpaths
1053249,Allpaths
1053250,Allpaths
10533,unknown
10535,unknown
1053687,Newbler
1053688,newbler
1053692,unknown
10537,unknown
105420,Newbler
1054213,Velvet
1054217,unknown
105422,Newbler
105425,Newbler
1054460,unknown
1054461,unknown
1054480,unknown
1054649,unknown
1054834,unknown
1054860,Allpaths
1054860,Phrap
1054860,Velvet
1054862,Allpaths
1054862,Phrap
1054862,SOAPdenovo
1054862,Velvet
1054948,Newbler
1054952,Newbler
1054959,Newbler
1054961,Newbler
1054962,Newbler
1054964,Newbler
1054966,Newbler
1054968,unknown
1054996,unknown
1055104,GS
1055192,SOAPdenovo
1055325,Newbler
1055328,Newbler
1055352,Newbler
1055521,CLC
1055524,unknown
1055527,unknown
1055528,unknown
1055529,unknown
1055530,unknown
1055531,unknown
1055532,unknown
1055539,SOAPdenovo
105559,unknown
1055684,unknown
1055723,unknown
1055750,unknown
1055770,ABySS
1055790,ABySS
1055803,ABySS
1055806,ABySS
1055808,ABySS
1055815,ABySS
10561,unknown
1056495,unknown
10564,unknown
1056511,CLC
1056512,CLC
10565,unknown
10566,unknown
10567,unknown
1056807,ABYSS
1056807,CLC
1056816,Unknown
1056817,Velvet
1056818,Allpaths
1056819,Allpaths
1056819,Velvet
1056820,Allpaths
1056820,Velvet
1056830,unknown
1056831,unknown
1056833,unknown
10568,unknown
1057002,Allpaths
1057002,Phrap
1057002,Velvet
10570,unknown
105751,unknown
10589,unknown
10600,unknown
10616,unknown
10617,unknown
1061,A5-miseq
1061,unknown
10620,unknown
10621,unknown
10623,unknown
106284,unknown
10632,unknown
106331,unknown
106333,unknown
106370,unknown
1063,unknown
10640,unknown
10641,unknown
1064535,unknown
1064537,MIRA
1064539,unknown
1064551,unknown
1064592,unknown
10649,unknown
10651,unknown
10653,unknown
10654,unknown
106582,Allpaths
106582,PBJelly
10658,unknown
106590,unknown
106590,Newbler
106592,unknown
106592,Newbler
106592,Spades
10661,unknown
106634,CLC
106634,unknown
106648,ABYSS
106648,unknown
106648,Newbler
106648,newbler
106649,newbler
106654,ABYSS
106654,CLC
106654,MaSuRCA
106654,unknown
106654,Ray
106654,SPAdes
106654,newbler
10665,unknown
10677,unknown
10678,unknown
10679,unknown
10680,unknown
1068590,Newbler
10685,unknown
1068608,SOAPdenovo
1068614,ALLPATHS-LG
1068615,ALLPATHS-LG
1068616,ALLPATHS-LG
1068617,ALLPATHS-LG
1068618,ALLPATHS-LG
1068619,ALLPATHS-LG
1068620,ALLPATHS-LG
1068621,ALLPATHS-LG
1068975,Allpaths
1068978,Allpaths
1068978,unknown
1068978,Phrap
1068978,Velvet
1068979,Allpaths
1068980,Allpaths
1068980,Phrap
1068980,Velvet
10689,unknown
1069080,Allpaths
1069080,Phrap
1069080,Velvet
1069081,unknown
1069082,Allpaths
1069082,Phrap
1069082,Velvet
1069083,Allpaths
1069083,CLC
1069083,Phrap
1069083,Velvet
10690,unknown
1069220,SPAdes
1069378,unknown
10693,unknown
1069448,Allpaths
1069495,SOAPdenovo
1069530,SPAdes
1069533,unknown
1069534,unknown
1069536,Velvet
1069608,Celera
1069609,Celera
1069610,Celera
1069611,Celera
1069612,Celera
1069613,Celera
1069614,Celera
1069615,Celera
1069616,Celera
1069617,Celera
1069618,Celera
1069619,Celera
1069620,Celera
1069621,Celera
1069622,Celera
1069623,Celera
1069624,Celera
1069625,Celera
1069626,Celera
1069627,Celera
1069628,Celera
106962,unknown
1069631,MIRA
1069642,unknown
1069680,Allpaths
1069985,SoftGenetics
1069,SPAdes
1070130,unknown
10702,unknown
1070319,unknown
1070324,unknown
1070408,unknown
1070409,unknown
1070410,unknown
1070413,unknown
1070417,unknown
10704,unknown
1070842,Allpaths
1070842,Phrap
1070842,Velvet
1070870,unknown
10708,unknown
1070977,Unknown
1070990,unknown
1071054,CLC
1071061,GS
1071069,GS
1071072,GS
1071073,SOAPdenovo
1071078,GS
1071079,GS
1071080,GS
1071085,GS
10710,unknown
1071177,unknown
1071378,unknown
1071380,unknown
1071381,unknown
1071382,unknown
1071390,Newbler
1071395,Velvet
10713,unknown
1071400,unknown
1071503,unknown
1071504,unknown
1071505,unknown
1071506,unknown
1071679,SOAPdenovo
1071753,unknown
1071754,unknown
1071755,unknown
1071756,unknown
1071757,unknown
1071758,unknown
1071759,unknown
1071760,unknown
1071761,unknown
1071762,unknown
1071763,unknown
1071764,unknown
1071765,unknown
1071766,unknown
1071767,unknown
1071768,unknown
1071769,unknown
1071770,unknown
1071771,unknown
1071772,unknown
1071773,unknown
1071774,unknown
1071775,unknown
1071776,unknown
1071777,unknown
1071778,unknown
1071779,unknown
1071780,unknown
1071781,unknown
1071782,unknown
1071783,unknown
10717,unknown
1071969,Newbler
10719,unknown
1072176,unknown
1072177,unknown
1072178,unknown
1072256,unknown
1072389,Newbler
1072459,unknown
1072467,unknown
10724,unknown
1072517,unknown
1072568,SOAPdenovo
1072569,SOAPdenovo
1072570,SOAPdenovo
1072571,SOAPdenovo
1072572,SOAPdenovo
1072575,SOAPdenovo
1072576,Newbler
1072583,SOAPDenovo
1072587,Newbler
1072588,Newbler
1072589,Newbler
1072590,unknown
1072591,Newbler
1072592,Newbler
1072593,Newbler
1072594,Newbler
1072602,Newbler
1072672,unknown
1072685,Edna
1072685,unknown
10726,unknown
10730,unknown
107324,unknown
107327,NGEN
10732,unknown
