name,taxid
Caminicella,166484
Massilioclostridium,1935927
Anaerosalibacter,1347386
Maledivibacter,1884930
Oxobacter,44261
Inediibacterium,2004411
Caloramator,44258
Paramaledivibacter,1884934
Caldisalinibacter,1640153
Youngiibacter,1408818
Desnuesiella,1924062
Fervidicella,1403538
Geosporobacter,390805
Thermotalea,648799
Peptococcaceae,186807
Desulfonispora,83660
Desulfotomaculum,1562
Desulfosporosinus,79206
Desulfitibacter,293136
Desulfurispora,510701
Desulfitobacterium,36853
Dehalobacter,56112
Thermincola,278993
Syntrophobotulus,51196
Candidatus Desulforudis,471826
Gottschalkia,1505664
Epulopiscium,2383
Levyella,1715798
Pseudoflavonifractor,1017280
Flavonifractor,946234
Fenollaria,1686313
Proteiniborus,415014
Intestinimonas,1392389
Neofamilia,1933048
Eubacteriaceae,186806
Eubacterium,1730
Anaerofustis,264995
Acetobacterium,33951
Alkalibacter,274470
Garciella,218204
Intestinibacillus,1928820
Pseudoramibacter,113286
Heliobacteriaceae,31984
Heliobacterium,2697
Symbiobacteriaceae,543349
Symbiobacterium,2733
Defluviitaleaceae,1185407
Defluviitalea,1185408
Catabacteriaceae,424536
Catabacter,270497
Clostridiales Family XIII. Incertae Sedis,543314
Casaltella,1715793
Ileibacterium,1980680
Mogibacterium,86331
Mobilibacterium,1935192
Anaerovorax,109326
Emergencia,1926556
Clostridiales Family XVII. Incertae Sedis,539000
Sulfobacillus,28033
Thermaerobacter,73918
Clostridiales Family XII. Incertae Sedis,543313
Fusibacter,76008
Clostridiales Family XVI. Incertae Sedis,543347
Carboxydocella,178898
Christensenellaceae,990719
Christensenella,990721
Caldicoprobacteraceae,715221
Caldicoprobacter,715222
Oscillospiraceae,216572
Oscillibacter,459786
Proteinivoraceae,1491775
Anaerobranca,42447
Halanaerobiales,53433
Halanaerobiaceae,972
Halanaerobium,2330
Halothermothrix,32636
Halobacteroidaceae,53434
Orenia,46468
Halonatronum,150059
Selenihalanaerobacter,142841
Acetohalobium,28186
Halobacteroides,42417
Thermoanaerobacterales,68295
Thermoanaerobacteraceae,186814
Thermoanaerobacter,1754
Moorella,44260
Ammonifex,42837
Thermacetogenium,140458
Caldanaerobacter,249529
Caldanaerobius,862261
Desulfovirgula,418453
Thermanaeromonas,202949
Tepidanaerobacter,499228
Fervidicola,555078
Carboxydothermus,129957
